"ActiveCells","POR","PERMI","PERMJ","PERMK","Pressure[0]","Pressure[366]","Pressure[731]","Pressure[1096]","Pressure[1461]","Pressure[1827]","Pressure[2192]","Pressure[2557]","Pressure[2699.793]","CO2Gas[0]","CO2Gas[366]","CO2Gas[731]","CO2Gas[1096]","CO2Gas[1461]","CO2Gas[1827]","CO2Gas[2192]","CO2Gas[2557]","CO2Gas[2699.793]","CO2Oil[0]","CO2Oil[366]","CO2Oil[731]","CO2Oil[1096]","CO2Oil[1461]","CO2Oil[1827]","CO2Oil[2192]","CO2Oil[2557]","CO2Oil[2699.793]","CO2Water[0]","CO2Water[366]","CO2Water[731]","CO2Water[1096]","CO2Water[1461]","CO2Water[1827]","CO2Water[2192]","CO2Water[2557]","CO2Water[2699.793]","Cell Type"
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.02,7.7508,7.7508,0.77508,16450,16243,16160.6,16081.5,16051.3,16007.8,15999.1,15974,15972.1,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,2.3027,2.3027,0.23027,16450,15996,15911.1,15830.7,15799.7,15756.2,15747.4,15722.5,15720.6,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,2.4913,2.4913,0.24913,16450,15909.9,15821.4,15738.7,15706.1,15661.7,15652.3,15627.1,15625,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0637,2.3767,2.3767,0.23767,16450,15939.8,15844.6,15757.3,15721.5,15675.2,15664.3,15638.4,15635.9,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0787,4.0678,4.0678,0.40678,16450,15980.2,15870.8,15774.8,15733.6,15684.5,15671.4,15644.8,15641.7,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0728,2.3677,2.3677,0.23677,16450,16024,15898.8,15793.5,15746.5,15694.5,15679.1,15652,15648.4,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.8355,0.8355,0.08355,16450,16051.5,15891.6,15763.6,15702,15642.7,15622.2,15594,15589.5,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.3853,0.3853,0.03853,16450,16071,15854.2,15687.9,15600.8,15527.6,15496.2,15463.4,15456.5,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.4004,0.4004,0.04004,16450,16080.4,15796.1,15583.3,15465.8,15374.9,15330.2,15291.3,15281.5,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.7772,0.7772,0.07772,16450,16055.7,15637.5,15329.9,15150.6,15022.4,14951.3,14899.3,14883.9,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0576,0.4287,0.4287,0.04287,16450,16085,15572.9,15200.8,14980.9,14830.5,14744.8,14687.3,14669.2,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0589,0.3583,0.3583,0.03583,16450,16107.1,15540.2,15125.5,14878.8,14713.7,14618.7,14557.8,14538.5,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.7509,0.7509,0.07509,16450,16105.3,15507.6,15069.2,14807.8,14632.6,14531.1,14466.6,14446,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0494,0.6437,0.6437,0.06437,16450,16086.2,15471.2,15020.5,14751.8,14571.2,14466.2,14399,14377.3,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
